Interesting,Mapped,Visited,Photographed,Name (en),Name (cn),"Lat, Lon",Address (en),Has Historical Photo,Address (cn),Reference (link),Status,Current Use,Products,Brands (cn/en),Guizhou?,Notes,Dates of operation
,,,,Shanghai Radio no.35 Factory ,上海无线电三十五厂,"31.20446, 121.46936",No. 630 Xietu Road,,上海市斜土路630号,http://www.studyofnet.com/717614483.html,,MILAN时尚造型(hair salon),,,,,
,,,,Shanghai Radio no.36 Factory ,上海无线电三十六厂,"31.19122, 121.45591","No. 520, Zhongshan South 2nd Road",,上海市中山南二路520号,http://shwxdssl.dayinmao.com/,Seemingly still exists, Is currently housing the 'Shanghai clock culture and science museum' (2024) / 上海钟表文化科普馆. registered in 1981,,,,,
,,,,Shanghai Radio no.41 Factory ,上海无线电四十一厂,"31.20594, 121.44324",No.627 Yongjia Road,,上海市永嘉路627号,http://www.studyofnet.com/717614483.html,Seemingly still partially exists,"上海市仪表电子产品质量监督检验站, National institute of Quality inspection an research on product in Shanghai.  this is amazing, it seems some older factory looking buildings are still there",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,All listed factories interpolated from the highest numbered factory that could be found in references),,,,,,,,,,,,,,,,
,,"Red: to do, failed, innacurate or impossible",,,,,,,,,,,,,,,
,,"Green: visited, mapped and photographed",,,,,,,,,,,,,,,
,,"Gray: no records/references found, factory might never have existed",,,,,,,,,,,,,,,
,,Sites Of Interest/Do more research/Come back later/Worth another visit,,,,,,,,,,,,,,,
,List of Shanghai factories during planned economy period (incomplete),,,,,,,,,,,,,,,,
